email_id,email_type,subject_hotness_score,email_source_type,customer_location,email_campaign_type,total_past_communications,time_email_sent_category,total_links,total_images
EMA00081010665120,1,0.0,1,Puebla,3,32,1,5,0
EMA00081010827310,1,2.4,1,Puebla,2,11,2,11,0
EMA00081010973160,1,1.5,1,Puebla,2,21,2,14,3
EMA00081011068220,2,0.2,2,Puebla,1,0,2,-1,0
EMA00081011101420,1,0.1,1,Ciudad de México,3,1,2,16,-1
EMA00081011320340,2,1.3,1,Zacatecas,2,1,3,14,1
EMA00081011517010,1,1.0,2,Tijuana,2,34,1,7,0
EMA00081011547820,1,2.2,2,Sinaloa,2,19,2,14,-1
EMA00081011553930,1,1.7,1,Veracruz,2,1,2,6,2
EMA00081011712250,1,3.2,2,Puebla,2,25,3,6,0
EMA00081011801110,1,0.3,2,Ciudad de México,3,29,1,11,0
EMA00081011878230,2,2.7,1,Veracruz,2,14,1,4,0
EMA00081012051760,1,1.3,2,Monterrey,2,1,1,26,7
EMA00081012141850,2,0.3,1,Monterrey,3,1,2,21,7
EMA00081012272590,2,0.2,1,Zacatecas,2,43,2,6,0
EMA00081012370480,1,1.6,2,San Luis,2,30,2,41,37
EMA00081012716300,2,0.9,1,Sinaloa,2,13,3,6,5
EMA00081013030930,1,0.1,2,Puebla,3,60,1,4,-1
EMA00081013551530,1,0.3,2,Monterrey,3,53,2,9,6
EMA00081013595700,2,0.3,1,Puebla,2,22,2,9,0
EMA00081013632280,1,0.9,2,Tijuana,2,37,2,9,5
EMA00081013687090,1,0.7,1,San Luis,2,30,2,11,3
EMA00081013856080,1,1.2,2,Zacatecas,2,1,2,4,0
EMA00081014061410,1,0.0,2,Ciudad de México,3,30,1,34,20
EMA00081014089320,1,0.9,2,Ciudad de México,2,30,3,7,4
EMA00081014394470,1,1.3,2,Veracruz,2,1,2,24,12
EMA00081014464890,2,0.0,2,Puebla,3,30,3,4,3
EMA00081014924430,1,0.6,2,Guadalajara,2,20,1,6,5
EMA00081014999160,1,0.2,1,Ciudad de México,3,46,2,13,11
EMA00081015016980,1,3.2,2,Monterrey,2,10,2,7,0
EMA00081015133150,1,0.7,2,Ciudad de México,2,48,2,14,0
EMA00081015268930,2,0.3,2,Guadalajara,3,30,2,9,0
EMA00081015610750,1,2.6,2,San Luis,2,24,2,8,0
EMA00081015628880,2,2.6,1,Veracruz,2,5,2,4,0
EMA00081015635540,2,0.4,1,Aguascalientes,2,1,3,4,0
EMA00081015669840,1,0.5,2,Veracruz,2,31,1,6,0
EMA00081015920000,2,0.3,1,Puebla,2,25,2,8,5
EMA00081016006030,1,1.4,1,Veracruz,2,31,2,21,8
EMA00081016061050,1,2.3,2,Monterrey,2,33,2,8,0
EMA00081016079210,2,3.2,1,Ciudad de México,2,16,2,8,0
EMA00081016079930,2,0.1,2,Tijuana,3,46,2,14,13
EMA00081016293590,2,0.2,1,Veracruz,3,45,3,8,2
EMA00081016731550,1,1.6,2,San Luis,2,1,1,24,16
EMA00081017059930,1,0.5,1,Zacatecas,2,30,2,8,0
EMA00081017117570,2,0.3,2,Sinaloa,3,12,2,6,0
EMA00081017141240,1,0.4,2,Ciudad de México,2,30,2,11,8
EMA00081017182510,1,1.4,1,San Luis,2,22,2,6,0
EMA00081017536330,1,0.1,1,Veracruz,3,30,2,4,0
EMA00081017635250,1,3.0,2,Zacatecas,2,11,1,6,4
EMA00081017949190,1,2.9,1,Sinaloa,2,1,2,-1,0
EMA00081018508000,1,3.2,1,Tijuana,2,20,2,5,0
EMA00081018520860,1,1.4,1,Sinaloa,2,16,2,21,17
EMA00081018677820,2,0.1,1,Tijuana,3,29,3,10,0
EMA00081018690510,1,0.6,2,Zacatecas,2,18,2,14,8
EMA00081018704340,1,1.4,1,Sinaloa,2,17,2,6,0
EMA00081018790450,2,0.7,1,Guadalajara,2,25,2,21,16
EMA00081018804400,1,2.2,1,Aguascalientes,2,28,2,4,0
EMA00081018990910,2,3.0,1,Sinaloa,2,20,2,4,0
EMA00081019093520,1,2.1,2,Sinaloa,2,20,3,4,0
EMA00081019233260,2,3.8,1,Tijuana,2,16,1,6,0
EMA00081019271430,2,0.1,1,Zacatecas,2,52,2,6,0
EMA00081019872710,1,0.4,2,Ciudad de México,2,21,3,-1,0
EMA00081020122800,1,0.8,2,Tijuana,2,14,2,11,0
EMA00081020147150,2,0.2,2,Ciudad de México,3,26,1,9,0
EMA00081020172660,1,0.3,2,Tijuana,2,45,3,14,8
EMA00081020230370,1,1.9,2,Monterrey,2,13,3,9,0
EMA00081020322990,1,1.7,1,Zacatecas,2,24,2,5,0
EMA00081020439740,1,0.3,1,Tijuana,3,31,2,13,0
EMA00081020487100,1,1.2,1,Guadalajara,2,39,3,16,14
EMA00081020578830,2,0.3,1,San Luis,3,33,1,11,0
EMA00081020597120,2,0.8,1,Tijuana,2,27,3,11,0
EMA00081020903300,2,0.7,1,San Luis,2,30,2,4,0
EMA00081021100820,2,0.5,1,Aguascalientes,2,16,2,9,0
EMA00081021240540,1,2.2,2,San Luis,2,1,2,6,0
EMA00081021310560,2,2.6,1,Tijuana,2,20,1,3,1
EMA00081021665400,1,2.5,1,Guadalajara,2,26,2,4,0
EMA00081021833810,1,0.3,2,San Luis,2,25,2,21,17
EMA00081021927410,2,0.0,1,Veracruz,3,20,2,5,2
EMA00081022015790,1,3.3,1,Veracruz,2,18,2,8,1
EMA00081022068260,1,1.2,1,Ciudad de México,2,30,2,-1,3
EMA00081022115550,1,1.7,1,San Luis,2,24,2,21,11
EMA00081022518990,1,1.1,2,Puebla,2,25,2,21,7
EMA00081022525420,2,0.3,1,Aguascalientes,2,47,3,8,0
EMA00081022529390,2,0.2,2,San Luis,3,38,2,19,11
EMA00081022563200,1,3.3,2,Sinaloa,2,14,2,8,2
EMA00081022665100,1,0.7,2,Sinaloa,2,12,2,8,0
EMA00081022706700,2,0.0,1,Monterrey,3,28,2,11,6
EMA00081022726270,1,0.1,2,Zacatecas,3,41,3,8,0
EMA00081022844820,1,0.1,1,San Luis,2,39,2,21,2
EMA00081022891070,1,0.3,2,Tijuana,2,40,2,-1,0
EMA00081022936890,2,2.4,1,Zacatecas,2,12,2,11,0
EMA00081023351060,1,2.1,2,Tijuana,2,30,1,2,0
EMA00081023520910,1,1.8,2,Monterrey,2,38,2,11,0
EMA00081023667880,1,0.1,1,Monterrey,3,43,2,14,6
EMA00081023761370,1,0.2,2,Sinaloa,3,1,2,11,0
EMA00081023839320,1,2.8,1,Tijuana,2,35,1,9,0
EMA00081023982180,1,0.3,1,Veracruz,2,23,1,-1,0
EMA00081024380420,1,2.0,1,Tijuana,2,10,2,14,0
EMA00081024516370,2,0.2,1,Aguascalientes,2,30,3,16,2
EMA00081024536260,2,0.1,1,Zacatecas,3,29,2,10,0
EMA00081024806650,2,0.7,1,Sinaloa,2,34,3,11,0
EMA00081025056620,1,1.9,2,Veracruz,2,20,2,11,3
EMA00081025353610,1,1.7,2,Zacatecas,2,11,2,14,3
EMA00081025367690,2,0.3,2,Guadalajara,3,36,2,9,2
EMA00081025409990,1,3.0,2,Ciudad de México,2,17,3,8,0
EMA00081025427960,1,0.7,2,Ciudad de México,2,38,2,16,5
EMA00081025447360,2,0.0,2,Monterrey,3,24,1,9,0
EMA00081025712170,1,0.0,2,Sinaloa,3,38,2,7,0
EMA00081025769030,1,0.1,1,Monterrey,3,43,2,14,7
EMA00081025965880,1,3.3,1,Puebla,2,27,3,6,0
EMA00081026074370,1,0.9,2,Guadalajara,2,20,2,18,13
EMA00081026560900,1,0.0,1,Zacatecas,3,57,2,11,5
EMA00081026600310,1,1.1,1,Ciudad de México,2,1,2,9,0
EMA00081026604590,2,0.3,2,Veracruz,3,46,3,4,0
EMA00081026883470,2,0.2,2,Monterrey,3,27,2,4,0
EMA00081027037030,1,2.2,1,Veracruz,2,10,2,9,6
EMA00081027356390,1,0.5,1,Aguascalientes,2,1,2,14,1
EMA00081027426500,1,1.3,1,Aguascalientes,2,35,2,6,3
EMA00081027611290,1,0.1,2,Tijuana,3,27,2,6,4
EMA00081027615600,2,0.2,1,Aguascalientes,3,25,3,3,0
EMA00081027646570,2,0.9,1,Ciudad de México,2,1,2,14,2
EMA00081027658350,1,2.1,1,Veracruz,2,17,2,14,-1
EMA00081027742960,1,1.7,1,Aguascalientes,2,21,2,21,19
EMA00081027888690,1,2.0,2,Veracruz,2,26,1,-1,1
EMA00081027964770,2,0.0,1,Sinaloa,3,25,3,8,0
EMA00081027974390,1,0.8,1,Monterrey,2,28,1,31,20
EMA00081028341840,2,1.9,1,Tijuana,2,1,1,6,0
EMA00081028346750,1,2.3,1,Sinaloa,2,18,2,8,0
EMA00081028379520,1,0.1,2,Veracruz,3,53,2,9,0
EMA00081028527340,1,2.3,2,Veracruz,2,29,3,4,0
EMA00081028619960,1,0.5,2,Tijuana,2,34,2,9,8
EMA00081028700200,1,2.5,2,Sinaloa,2,11,2,11,0
EMA00081028860700,2,0.3,1,Puebla,3,45,1,8,0
EMA00081029211570,1,0.0,1,Aguascalientes,3,33,3,6,0
EMA00081029263320,2,0.1,2,Guadalajara,3,44,2,11,10
EMA00081029294300,2,0.0,2,Puebla,3,1,2,16,0
EMA00081029555170,1,0.7,2,Sinaloa,2,25,2,11,0
EMA00081029603120,2,2.3,1,Monterrey,2,15,2,5,0
EMA00081029808510,1,0.2,2,Aguascalientes,3,31,2,16,1
EMA00081029974560,1,0.3,1,Veracruz,3,27,1,13,-1
EMA00081030047550,1,1.4,2,Ciudad de México,2,1,1,8,0
EMA00081030050370,1,0.5,1,Guadalajara,2,39,1,14,8
EMA00081030422380,1,1.7,2,Tijuana,2,31,3,6,0
EMA00081030497050,1,3.5,2,Zacatecas,2,1,2,6,0
EMA00081030596650,1,1.8,2,San Luis,2,1,2,4,0
EMA00081030637090,1,0.1,2,Sinaloa,2,1,2,6,3
EMA00081030741790,1,0.7,2,Puebla,2,43,2,9,0
EMA00081030869800,1,0.2,1,Puebla,3,52,2,11,0
EMA00081030893120,1,1.4,2,Guadalajara,2,18,2,9,0
EMA00081030990620,1,0.2,2,San Luis,2,33,2,-1,1
EMA00081031119060,2,1.8,1,Monterrey,2,18,1,4,0
EMA00081031161910,1,0.3,2,Tijuana,3,27,3,14,5
EMA00081031271710,1,1.8,2,Zacatecas,2,23,3,7,4
EMA00081031554960,2,1.7,1,Zacatecas,2,32,2,4,0
EMA00081031555710,1,1.5,2,Zacatecas,2,25,2,9,-1
EMA00081031562640,2,1.6,1,Ciudad de México,2,34,3,11,6
EMA00081031605720,1,2.2,1,Veracruz,2,20,2,4,0
EMA00081031630010,1,1.4,2,Ciudad de México,2,30,3,21,12
EMA00081031809020,2,0.3,1,Tijuana,3,32,2,5,4
EMA00081031831150,1,0.6,2,Guadalajara,2,34,2,4,0
EMA00081032285020,2,0.2,1,Puebla,3,37,1,8,1
EMA00081032320790,1,0.0,1,Puebla,3,54,3,9,0
EMA00081032670470,1,0.1,2,Guadalajara,3,47,1,9,0
EMA00081033033170,1,2.1,2,Tijuana,2,28,3,9,0
EMA00081033105680,2,0.0,2,Ciudad de México,3,24,1,6,0
EMA00081033121870,1,0.2,1,Tijuana,3,36,2,21,14
EMA00081033539250,1,1.2,1,Aguascalientes,2,38,2,31,30
EMA00081033689460,1,0.5,2,Puebla,2,29,3,31,17
EMA00081033739690,1,1.9,1,Monterrey,2,22,2,9,0
EMA00081033752060,2,1.2,1,Ciudad de México,2,30,1,2,0
EMA00081033761460,1,1.5,2,Monterrey,2,18,2,21,15
EMA00081034272710,2,0.0,2,San Luis,3,28,2,6,0
EMA00081034302110,2,0.2,2,Monterrey,3,50,2,6,2
EMA00081034563550,1,0.2,1,Ciudad de México,3,40,2,6,0
EMA00081034635550,1,3.8,1,Guadalajara,2,1,1,8,1
EMA00081034984460,1,0.5,1,San Luis,2,46,3,6,5
EMA00081035142330,1,0.7,1,Ciudad de México,2,19,2,16,0
EMA00081035237060,1,1.5,2,Tijuana,2,17,2,16,5
EMA00081035445650,1,1.1,2,Puebla,2,1,2,6,0
EMA00081035460590,2,0.3,2,Zacatecas,3,14,3,2,0
EMA00081035794400,1,0.3,1,Aguascalientes,3,40,3,19,12
EMA00081035885520,2,0.1,2,Zacatecas,1,0,3,1,0
EMA00081036100870,2,1.2,1,Zacatecas,2,13,3,4,0
EMA00081036289040,1,1.7,2,Tijuana,2,42,2,6,0
EMA00081036358940,1,1.7,2,Monterrey,2,1,2,4,0
EMA00081036378790,1,2.3,2,Guadalajara,2,6,2,9,6
EMA00081036399820,1,0.3,1,Sinaloa,2,1,2,16,8
EMA00081036412060,1,1.4,2,Aguascalientes,2,42,3,11,0
EMA00081036431960,2,0.3,2,Tijuana,3,43,2,8,0
EMA00081036515870,1,1.8,2,San Luis,2,37,3,16,0
EMA00081036570670,1,0.1,2,Sinaloa,3,22,2,11,4
EMA00081036583690,1,0.8,2,Ciudad de México,2,44,3,6,0
EMA00081037072680,1,0.1,1,Guadalajara,2,1,2,11,9
EMA00081037745150,1,2.1,2,San Luis,2,11,3,3,0
EMA00081037782440,1,1.7,2,Ciudad de México,2,17,3,11,8
EMA00081037821020,2,0.3,2,Zacatecas,3,1,1,21,15
EMA00081037854360,1,1.1,1,Zacatecas,2,42,2,6,0
EMA00081037977750,1,1.3,1,Guadalajara,2,41,2,8,0
EMA00081038284690,1,0.3,1,Zacatecas,3,42,2,6,0
EMA00081038323230,1,1.2,2,Aguascalientes,2,39,1,21,3
EMA00081038364100,1,2.9,1,Ciudad de México,2,20,3,9,0
EMA00081038382670,2,0.1,1,Guadalajara,2,38,2,3,0
EMA00081038594870,1,1.9,2,Sinaloa,2,37,1,7,0
EMA00081038915960,1,1.5,2,San Luis,2,30,2,8,0
EMA00081039043180,1,0.3,2,Aguascalientes,3,34,3,-1,6
EMA00081039377620,1,0.2,2,Zacatecas,2,29,2,16,5
EMA00081039512490,1,0.0,1,San Luis,2,37,3,31,23
EMA00081039772760,1,0.1,2,Tijuana,3,20,2,2,0
EMA00081039782920,1,1.5,1,Monterrey,2,33,1,6,5
EMA00081039865090,1,1.2,2,Puebla,2,40,2,9,0
EMA00081040102930,1,0.4,2,Sinaloa,2,51,1,14,8
EMA00081040271640,2,2.3,1,Aguascalientes,2,30,3,11,7
EMA00081040298210,2,0.3,1,Guadalajara,3,6,1,6,0
EMA00081040454160,2,0.2,1,Zacatecas,2,26,2,11,0
EMA00081040510420,1,0.6,2,Monterrey,2,28,2,4,0
EMA00081040513320,1,2.1,2,Guadalajara,2,13,2,6,0
EMA00081040822660,1,1.0,2,Puebla,2,27,2,6,5
EMA00081040992040,1,0.8,1,Tijuana,2,42,2,14,0
EMA00081041083470,2,0.3,1,Puebla,3,20,3,31,14
EMA00081041113240,1,0.7,2,Ciudad de México,2,40,2,14,0
EMA00081041137690,1,2.3,2,Veracruz,2,12,2,4,1
EMA00081041148870,1,1.6,2,San Luis,2,9,2,21,17
EMA00081041253130,1,0.1,2,Sinaloa,3,32,2,6,0
EMA00081041418870,1,0.3,1,Sinaloa,3,50,1,6,0
EMA00081041441080,1,0.8,1,Aguascalientes,2,22,2,9,0
EMA00081041448980,1,1.0,1,Sinaloa,2,41,1,16,11
EMA00081041512330,1,1.0,1,Aguascalientes,2,1,1,26,11
EMA00081041521580,1,0.8,2,Puebla,2,31,2,9,0
EMA00081041564230,1,2.4,1,Puebla,2,17,1,6,3
EMA00081041621360,1,1.5,2,Tijuana,2,15,1,8,4
EMA00081041730470,1,0.2,1,Monterrey,3,1,3,4,0
EMA00081041805690,1,3.7,2,Guadalajara,2,1,1,6,0
EMA00081041978010,1,3.1,2,Sinaloa,2,1,2,4,-1
EMA00081042002230,1,1.2,1,Zacatecas,2,36,1,6,0
EMA00081042178510,1,0.4,2,Ciudad de México,2,30,2,6,4
EMA00081042257100,1,0.2,1,Aguascalientes,2,45,2,9,0
EMA00081042446130,2,0.2,2,San Luis,1,0,2,1,0
EMA00081042485040,1,2.3,1,San Luis,2,24,2,21,4
EMA00081042504420,1,0.3,2,Monterrey,2,62,2,6,5
EMA00081042589010,1,0.4,2,Zacatecas,2,17,2,26,17
EMA00081042750700,1,1.6,1,San Luis,2,40,2,11,0
EMA00081042962650,1,3.3,1,Monterrey,2,14,2,11,4
EMA00081043102140,1,1.1,1,Sinaloa,2,30,2,21,8
EMA00081043112290,1,0.3,2,Sinaloa,3,42,2,4,3
EMA00081043129900,2,1.4,1,Aguascalientes,2,24,3,4,0
EMA00081043193130,1,2.3,2,Puebla,2,16,3,11,0
EMA00081043239940,1,1.3,2,Veracruz,2,20,1,7,0
EMA00081043356850,1,0.1,2,San Luis,3,47,2,14,12
EMA00081043423570,1,0.2,2,Sinaloa,3,42,2,4,-1
EMA00081043785950,2,0.0,1,Monterrey,3,37,1,11,0
EMA00081043840190,1,1.4,1,San Luis,2,20,2,14,6
EMA00081044162840,1,0.1,1,Sinaloa,3,50,3,21,4
EMA00081044254130,1,1.9,2,Veracruz,2,30,1,7,0
EMA00081044386280,2,0.1,2,Ciudad de México,3,55,1,11,4
EMA00081044597390,2,0.2,1,Puebla,3,47,3,11,0
EMA00081044799100,1,0.5,2,Monterrey,2,45,2,36,23
EMA00081044878330,1,0.0,2,Guadalajara,3,1,1,4,1
EMA00081044907650,1,0.9,1,Zacatecas,2,50,2,31,27
EMA00081044957790,2,2.4,1,Guadalajara,2,22,2,4,0
EMA00081045122440,1,1.0,2,Zacatecas,2,12,3,26,10
EMA00081045322020,2,1.3,1,Monterrey,2,22,3,-1,0
EMA00081045342920,1,1.8,2,Monterrey,2,19,3,6,0
EMA00081045616700,1,1.1,1,Tijuana,2,28,2,6,0
EMA00081045768080,2,0.2,1,Guadalajara,3,29,2,4,0
EMA00081046323000,1,2.9,1,Tijuana,2,1,2,11,0
EMA00081046398450,1,0.2,1,Sinaloa,2,24,2,19,5
EMA00081046495790,1,0.5,1,Tijuana,2,36,1,11,0
EMA00081046593090,2,0.1,1,Aguascalientes,3,36,2,9,6
EMA00081046749870,1,0.1,1,Monterrey,3,25,3,8,0
EMA00081046800900,1,1.5,1,Guadalajara,2,35,3,9,4
EMA00081046906380,1,1.4,2,Aguascalientes,2,27,2,8,3
EMA00081046909390,1,2.6,1,Veracruz,2,22,2,6,0
EMA00081047201170,1,0.1,1,Ciudad de México,3,30,3,9,0
EMA00081047207030,1,2.5,2,Aguascalientes,2,14,1,3,2
EMA00081047478510,2,1.0,1,Veracruz,2,28,1,-1,0
EMA00081047851950,1,0.9,1,Tijuana,2,1,2,2,0
EMA00081048080290,1,3.7,1,Puebla,2,20,2,6,0
EMA00081048157820,1,0.2,1,Aguascalientes,2,44,3,6,5
EMA00081048267240,1,1.3,1,Guadalajara,2,15,2,6,0
EMA00081048283410,1,1.5,1,San Luis,2,19,2,29,24
EMA00081048323930,1,1.3,2,Puebla,2,15,2,9,3
EMA00081048353370,1,0.6,1,Sinaloa,2,38,3,9,7
EMA00081048479890,2,0.3,1,San Luis,2,17,2,6,0
EMA00081048602520,1,3.1,1,Puebla,2,11,2,21,12
EMA00081048627690,1,0.2,1,Sinaloa,3,51,1,5,0
EMA00081048635800,1,2.0,2,Guadalajara,2,10,2,8,5
EMA00081048672420,1,0.7,2,Zacatecas,2,43,1,14,0
EMA00081049192350,2,0.3,1,San Luis,3,16,2,11,7
EMA00081049588610,1,0.3,1,Zacatecas,2,34,3,9,0
EMA00081049592430,2,0.1,1,Tijuana,3,29,2,2,0
EMA00081049604080,1,0.3,1,Sinaloa,3,47,3,2,1
EMA00081049646520,1,1.1,2,Monterrey,2,10,2,5,0
EMA00081049656420,1,1.9,1,San Luis,2,25,3,21,10
EMA00081049677810,1,0.1,2,San Luis,3,19,1,6,0
EMA00081050065410,1,3.0,2,Aguascalientes,2,1,3,8,4
EMA00081050085480,1,1.6,2,Guadalajara,2,45,2,-1,3
EMA00081050204300,1,0.5,2,Veracruz,2,40,2,6,0
EMA00081050225670,1,0.6,2,Tijuana,2,15,2,26,23
EMA00081050276500,2,0.1,2,Zacatecas,3,21,3,6,0
EMA00081050537100,1,0.5,2,Puebla,2,27,1,7,0
EMA00081050545300,1,1.3,2,Zacatecas,2,45,2,6,5
EMA00081050654590,1,1.5,1,Sinaloa,2,25,3,11,0
EMA00081050893420,1,0.1,1,San Luis,3,1,2,16,6
EMA00081050993030,1,0.0,2,Monterrey,3,1,2,14,0
EMA00081051087830,2,0.2,1,Ciudad de México,2,27,1,4,0
EMA00081051135720,2,0.3,1,Veracruz,3,1,1,16,4
EMA00081051210870,1,1.0,2,Guadalajara,2,1,2,14,0
EMA00081051215700,1,1.3,2,Veracruz,2,36,2,14,11
EMA00081051342450,2,0.1,1,Aguascalientes,2,30,2,11,7
EMA00081051565340,1,0.9,1,San Luis,2,24,2,7,0
EMA00081051643610,1,0.0,1,Puebla,3,40,2,13,8
EMA00081051812790,1,0.1,2,Tijuana,3,44,2,4,0
EMA00081052000360,1,0.3,2,Guadalajara,3,1,3,9,0
EMA00081052432490,2,0.6,1,Aguascalientes,2,49,3,-1,3
EMA00081052491940,1,1.5,1,San Luis,2,20,2,6,0
EMA00081052730250,1,0.2,1,Sinaloa,3,49,1,5,0
EMA00081052892620,1,4.4,2,Guadalajara,2,8,2,3,2
EMA00081052959920,2,0.1,2,Sinaloa,3,50,3,9,0
EMA00081053007170,1,3.8,2,Sinaloa,2,5,2,16,13
EMA00081053172710,1,0.7,2,San Luis,2,25,2,21,15
EMA00081053235200,1,2.2,2,San Luis,2,17,2,26,25
EMA00081053523800,2,0.4,1,San Luis,2,18,2,6,0
EMA00081053669310,2,1.4,1,Puebla,2,1,2,18,12
EMA00081053835540,1,0.3,1,Aguascalientes,3,38,1,2,0
EMA00081054021560,1,1.8,2,Monterrey,2,12,1,14,10
EMA00081054330120,1,0.9,1,Puebla,2,20,2,2,1
EMA00081054366760,2,2.9,1,Sinaloa,2,13,2,5,0
EMA00081054382100,1,0.8,2,Guadalajara,2,38,2,26,17
EMA00081054499630,2,0.3,2,Sinaloa,3,37,2,6,0
EMA00081054580370,2,0.3,2,Puebla,3,25,2,11,8
EMA00081054786780,2,2.2,1,Monterrey,2,26,2,-1,4
EMA00081054817450,1,3.3,2,Puebla,2,13,1,6,1
EMA00081055044040,2,0.2,2,Veracruz,3,14,2,4,0
EMA00081055126250,2,0.3,1,Puebla,2,54,3,6,0
EMA00081055340580,2,0.3,1,Tijuana,3,31,1,6,0
EMA00081055470050,1,1.4,2,Sinaloa,2,1,3,6,0
EMA00081055480160,2,0.0,2,Veracruz,3,21,3,4,0
EMA00081055505070,1,0.6,2,Zacatecas,2,1,2,9,2
EMA00081055573850,1,1.7,1,Ciudad de México,2,39,2,11,0
EMA00081055747320,2,0.0,2,Ciudad de México,3,49,1,16,7
EMA00081055770040,2,0.2,1,Sinaloa,2,48,3,8,0
EMA00081055852340,1,0.6,2,Ciudad de México,2,46,1,11,10
EMA00081055928310,2,0.3,1,Sinaloa,3,40,3,6,0
EMA00081055948050,1,0.6,2,Sinaloa,2,1,2,-1,7
EMA00081055974840,1,2.3,1,Sinaloa,2,20,2,14,3
EMA00081055999900,2,0.2,1,Zacatecas,3,11,3,6,0
EMA00081056058410,2,1.0,1,Sinaloa,2,21,2,11,0
EMA00081056147550,2,0.6,1,Aguascalientes,2,22,2,7,0
EMA00081056180380,1,0.3,1,Sinaloa,3,49,3,4,0
EMA00081056187590,2,0.0,1,Tijuana,3,28,2,26,12
EMA00081056324400,2,0.4,1,Sinaloa,2,39,1,3,2
